Here, is the dataset of passengers carried by air traffic for the last 128 months:

YEAR_MONTH,PASSENGERS CARRIED
2013-01,1408012.0
2013-02,1341210.0
2013-03,1423569.0
2013-04,1511094.0
2013-05,1685168.0
2013-06,1480879.0
2013-07,1445248.0
2013-08,1531406.0
2013-09,1378691.0
2013-10,1510184.0
2013-11,1467763.0
2013-12,1575872.0
2014-01,1426580.0
2014-02,1464070.0
2014-03,1601141.0
2014-04,1679963.0
2014-05,1908334.0
2014-06,1797101.0
2014-07,1599977.0
2014-08,1858664.0
2014-09,1907378.0
2014-10,1890273.0
2014-11,1967992.0
2014-12,2324221.0
2015-01,2276404.0
2015-02,2230645.0
2015-03,2286128.0
2015-04,2481285.0
2015-05,2769283.0
2015-06,2536554.0
2015-07,2416916.0
2015-08,2384943.0
2015-09,2430449.0
2015-10,2589861.0
2015-11,2597765.0
2015-12,2743325.0
2016-01,2725711.0
2016-02,2754131.0
2016-03,3023228.0
2016-04,3066556.0
2016-05,3336839.0
2016-06,3023081.0
2016-07,3383768.0
2016-08,3341081.0
2016-09,3295826.0
2016-10,3692828.0
2016-11,3772583.0
2016-12,3848322.0
2017-01,3809228.0
2017-02,3418605.0
2017-03,3611371.0
2017-04,3778780.0
2017-05,4190914.0
2017-06,3825814.0
2017-07,3699451.0
2017-08,3678245.0
2017-09,3664509.0
2017-10,4133027.0
2017-11,4131844.0
2017-12,4430070.0
2018-01,4556904.0
2018-02,4290189.0
2018-03,4576236.0
2018-04,4579916.0
2018-05,4852909.0
2018-06,4672686.0
2018-07,5002416.0
2018-08,4757378.0
2018-09,4920335.0
2018-10,5074853.0
2018-11,5005919.0
2018-12,5478523.0
2019-01,5321832.0
2019-02,4930608.0
2019-03,5440796.0
2019-04,5481088.0
2019-05,5979551.0
2019-06,5778376.0
2019-07,5693448.0
2019-08,5540693.0
2019-09,5559031.0
2019-10,5842318.0
2019-11,6151347.0
2019-12,6188457.0
2020-01,6119924.0
2020-02,5931189.0
2020-03,3793464.0
2020-04,0.0
2020-05,142254.0
2020-06,1046836.0
2020-07,1272240.0
2020-08,1681787.0
2020-09,2265539.0
2020-10,2926835.0
2020-11,3423059.0
2020-12,3951522.0
2021-01,4202712.0
2021-02,4238466.0
2021-03,4184920.0
2021-04,3083318.0
2021-05,1168738.0
2021-06,1701955.0
2021-07,2932469.0
2021-08,3816286.0
2021-09,3958375.0
2021-10,4807415.0
2021-11,5706021.0
2021-12,6140654.0
2022-01,3556558.0
2022-02,3950597.0
2022-03,5783838.0
2022-04,5957411.0
2022-05,6376429.0
2022-06,5982787.0
2022-07,5711288.0
2022-08,5832025.0
2022-09,5972449.0
2022-10,6471441.0
2022-11,6500903.0
2022-12,6997472.0
2023-01,6847384.0
2023-02,6741948.0
2023-03,7317288.0
2023-04,7406440.0
2023-05,8109626.0
2023-06,7893296.0
2023-07,7674890.0
2023-08,7867259.0
2023-09,[forecast_this_month]
2023-10,[forecast_this_month]
2023-11,[forecast_this_month]
2023-12,[forecast_this_month]
2024-01,[forecast_this_month]
2024-02,[forecast_this_month]
2024-03,[forecast_this_month]
2024-04,[forecast_this_month]
2024-05,[forecast_this_month]
2024-06,[forecast_this_month]
2024-07,[forecast_this_month]
2024-08,[forecast_this_month]

Based on the dataset, predict the number of passengers that will be carried by air traffic for the last 12 months.

Ignore the sudden drops that occured due to pandemic so as to get a better prediction.

Give the predicted number of passengers for the next 12 months as a csv file in the following format for year,month: YYYY MON,xxxxxx

Sample csv file format

YEAR_MONTH,PASSENGERS CARRIED
2023 SEP,100000.0
2023 OCT,100000.0
