pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,pickup_census_tract,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips
3.0,12.45,1,0,3,1970-01-01 00:00:01.357000200,41.97292932,-87.65029007,41.8997859996522,-87.64807667561502,4.4,17031081401.0,17031345278.265589,Credit Card,Dispatch Taxi Affiliation,960.0,32.0,3.0
32.0,5.65,1,2,3,1970-01-01 00:00:01.357006500,41.88099447,-87.63274649,41.88099447,-87.63274649,0.9,17031081401.0,17031839100.0,Cash,Dispatch Taxi Affiliation,360.0,32.0,0.0
8.0,8.25,1,2,3,1970-01-01 00:00:01.357007400,41.9002213,-87.62910519,41.87925508,-87.642649,0.0,17031081401.0,17031281900.0,Cash,Taxi Affiliation Services,600.0,28.0,0.0
6.0,8.25,1,2,3,1970-01-01 00:00:01.357007400,41.93839126,-87.63857492,41.91461629,-87.63171737,2.3,17031081401.0,17031071500.0,Cash,Dispatch Taxi Affiliation,480.0,7.0,0.0
22.0,5.85,1,2,3,1970-01-01 00:00:01.357007400,41.91590979,-87.68382594,41.90602597,-87.67531162,0.0,17031081401.0,17031241400.0,Cash,Taxi Affiliation Services,300.0,24.0,0.0
32.0,7.65,1,2,3,1970-01-01 00:00:01.357008300,41.87060737,-87.62217294,41.89250778,-87.62621491,1.8,17031081401.0,17031081500.0,Cash,Dispatch Taxi Affiliation,480.0,8.0,0.0
2.0,17.65,1,5,3,1970-01-01 00:00:01.357017300,42.00157103,-87.69501259,41.90120699,-87.67635599,70.0,17031081401.0,17031345278.265589,Credit Card,Taxi Affiliation Services,1380.0,24.0,3.8
24.0,9.45,1,8,3,1970-01-01 00:00:01.357028100,41.90120699,-87.67635599,41.90120699,-87.67635599,0.0,17031081401.0,17031345278.265589,Cash,Taxi Affiliation Services,900.0,24.0,0.0
77.0,4.85,1,9,3,1970-01-01 00:00:01.357033500,41.9867118,-87.66341641,41.96581197,-87.65587879,8.0,17031081401.0,17031345278.265589,Cash,Taxi Affiliation Services,300.0,3.0,0.0
8.0,8.44,1,10,3,1970-01-01 00:00:01.357034400,41.89960211,-87.63330804,41.87400538,-87.66351755,2.0,17031081401.0,17031345278.265589,Cash,Dispatch Taxi Affiliation,600.0,28.0,0.0
